elvish,english
hala,Cast shadow
ixal,cast shadow
ixal,CAST SHADOW
ixal,Cast shadow
halla,tall
halla,TALL
halla,Tall
halda,tall
halda,TALL
halda,Tall
hamna,pile
hamna,PILE
hamna,Pile
hamna,(artificial) mound
hamna,(ARTIFICIAL) MOUND
hampa,restrained
hampa,RESTRAINED
hampa,Restrained
hampa,delayed
hampa,DELAYED
hampa,Delayed
hampa,kept
hampa,KEPT
hampa,Kept
háno,brother
háno,BROTHER
háno,Brother
hanno,brother (diminutive)
hanno,BROTHER (DIMINUTIVE)
hanno,Brother (diminutive)
hanquenta,answer
hanquenta,ANSWER
hanquenta,Answer
endaquet-,to answer
endaquet-,TO ANSWER
endaquet-,To answer
tóquet-,to answer
tóquet-,TO ANSWER
tóquet-,To answer
aquet-,to answer
aquet-,TO ANSWER
aquet-,To answer
hantalë,thanksgiving
hantalë,THANKSGIVING
hantalë,Thanksgiving
hanwa,seat
hanwa,SEAT
hanwa,Seat
har-,to sit
har-,TO SIT
har-,To sit
har-,stay
har-,STAY
har-,Stay
haranyë,century (100 years)
haranyë,CENTURY (100 YEARS)
haranyë,Century (100 years)
harma,treasure
harma,TREASURE
harma,Treasure
harya-,to have
harya-,TO HAVE
harya-,To have
hasa-,to treat (medically)
hasa-,TO TREAT (MEDICALLY)
hasa-,To treat (medically)
hasa-,(help to) cure; to treat kindly
hasa-,(HELP TO) CURE; TO TREAT KINDLY
hasa-,make easy
hasa-,MAKE EASY
hasa-,Make easy
hasta-,to mar
hasta-,TO MAR
hasta-,To mar
hastaina,marred
hastaina,MARRED
hastaina,Marred
χarina,marred
χarina,MARRED
χarina,Marred
harina,marred
harina,MARRED
harina,Marred
hatal,spear
hatal,SPEAR
hatal,Spear
haura¹,huge
haura¹,HUGE
haura¹,Huge
haura²,hoard
haura²,HOARD
haura²,Hoard
haura²,store; funeral mound
haura²,STORE; FUNERAL MOUND
haura²,Store; funeral mound
háva,bread (collective)
háva,BREAD (COLLECTIVE)
háva,Bread (collective)
havar,a loaf
havar,A LOAF
havar,A loaf
havar,cake of bread
havar,CAKE OF BREAD
havar,Cake of bread
hecil,one lost
hecil,ONE LOST
hecil,One lost
hecil,forsaken by friends
hecil,FORSAKEN BY FRIENDS
hecil,Forsaken by friends
hecil,waif
hecil,WAIF
hecil,Waif
hecil,outcast
hecil,OUTCAST
hecil,Outcast
hecil,outlaw
hecil,OUTLAW
hecil,Outlaw
hecile,one lost
hecile,ONE LOST
hecile,One lost
hecile,forsaken by friends
hecile,FORSAKEN BY FRIENDS
hecile,Forsaken by friends
hecile,waif
hecile,WAIF
hecile,Waif
hecile,outcast
hecile,OUTCAST
hecile,Outcast
hecile,outlaw (f.)
hecile,OUTLAW (F.)
hecile,Outlaw (f.)
hecilo,one lost
hecilo,ONE LOST
hecilo,One lost
hecilo,forsaken by friends
hecilo,FORSAKEN BY FRIENDS
hecilo,Forsaken by friends
hecilo,waif
hecilo,WAIF
hecilo,Waif
hecilo,outcast
hecilo,OUTCAST
hecilo,Outcast
hecilo,outlaw (m.)
hecilo,OUTLAW (M.)
hecilo,Outlaw (m.)
hehta-,to put aside
hehta-,TO PUT ASIDE
hehta-,To put aside
hehta-,leave out
hehta-,LEAVE OUT
hehta-,Leave out
hehta-,exclude
hehta-,EXCLUDE
hehta-,Exclude
hehta-,abandon
hehta-,ABANDON
hehta-,Abandon
hehta-,forsake
hehta-,FORSAKE
hehta-,Forsake
helca,icy
helca,ICY
helca,Icy
helca,ice-cold
helca,ICE-COLD
helca,Ice-cold
hen,eye
hen,EYE
hen,Eye
hendumaica,sharp-eye[d]
hendumaica,SHARP-EYE[D]
hendumaica,Sharp-eye[d]
henfanwa,eye-screen
henfanwa,EYE-SCREEN
henfanwa,Eye-screen
henfanwa,veil upon eyes
henfanwa,VEIL UPON EYES
henfanwa,Veil upon eyes
henta-,to eye
henta-,TO EYE
henta-,To eye
henta-,examine
henta-,EXAMINE
henta-,Examine
henta-,read
henta-,READ
henta-,Read
henta-,scan
henta-,SCAN
henta-,Scan
hententa-,to spot with eye
hententa-,TO SPOT WITH EYE
hententa-,To spot with eye
hentië,reading
hentië,READING
hentië,Reading
heren,order
heren,ORDER
heren,Order
heri,lady
heri,LADY
heri,Lady
hérincë,*little lady
hérincë,*LITTLE LADY
heru,lord
heru,LORD
heru,Lord
heru,master
heru,MASTER
heru,Master
hér,lord
hér,LORD
hér,Lord
hí,here
hí,HERE
hí,Here
hildë,heir
hildë,HEIR
hildë,Heir
hildë,follower
hildë,FOLLOWER
hildë,Follower
hína,child
hína,CHILD
hína,Child
sén,child
sén,CHILD
sén,Child
hir-,to find
hir-,TO FIND
hir-,To find
hísë,mist
hísë,MIST
hísë,Mist
hísië,mist
hísië,MIST
hísië,Mist
hísië,mistiness
hísië,MISTINESS
hísië,Mistiness
hísilanya,mist thread
hísilanya,MIST THREAD
hísilanya,Mist thread
hísilanya,grey elvish rope
hísilanya,GREY ELVISH ROPE
hísilanya,Grey elvish rope
Hísimë,November
Hísimë,november
Hísimë,NOVEMBER
Hísimë,*Misty-one
Hísimë,*misty-one
Hísimë,*MISTY-ONE
Hísimë,*misty-one
hlapu-,to blow
hlapu-,TO BLOW
hlapu-,To blow
hlapu-,fly
hlapu-,FLY
hlapu-,Fly
hlapu-,stream in the wind
hlapu-,STREAM IN THE WIND
hlapu-,Stream in the wind
hlar-,to hear
hlar-,TO HEAR
hlar-,To hear
hlas,ear
hlas,EAR
hlas,Ear
hlimbë,sliding
hlimbë,SLIDING
hlimbë,Sliding
hlimbë,gliding
hlimbë,GLIDING
hlimbë,Gliding
hlimbë,slippery
hlimbë,SLIPPERY
hlimbë,Slippery
hlimbë,sleek
hlimbë,SLEEK
hlimbë,Sleek
hlöa,flood
hlöa,FLOOD
hlöa,Flood
hlöa,fenland
hlöa,FENLAND
hlöa,Fenland
hlócë,reptile
hlócë,REPTILE
hlócë,Reptile
hlócë,snake
hlócë,SNAKE
hlócë,Snake
hlócë,serpent
hlócë,SERPENT
hlócë,Serpent
hlócë,worm
hlócë,WORM
hlócë,Worm
lócë²,snake
lócë²,SNAKE
lócë²,Snake
lócë²,serpent
lócë²,SERPENT
lócë²,Serpent
hloima,poison
hloima,POISON
hloima,Poison
hloima,poisonous substance
hloima,POISONOUS SUBSTANCE
hloima,Poisonous substance
hloirë,venom
hloirë,VENOM
hloirë,Venom
hloirë,poison
hloirë,POISON
hloirë,Poison
hloirë,poisonousness
hloirë,POISONOUSNESS
hloirë,Poisonousness
hloirëa,venomous
hloirëa,VENOMOUS
hloirëa,Venomous
hloita-,to poison
hloita-,TO POISON
hloita-,To poison
hloita-,envenom
hloita-,ENVENOM
hloita-,Envenom
hloita-,fill with poison
hloita-,FILL WITH POISON
hloita-,Fill with poison
hlón(a),noise
hlón(a),NOISE
hlón(a),Noise
hlón(a),sound
hlón(a),SOUND
hlón(a),Sound
hlonitë,phonetic
hlonitë,PHONETIC
hlonitë,Phonetic
hlonaitë,phonetic
hlonaitë,PHONETIC
hlonaitë,Phonetic
hlúvo,greasy
hlúvo,GREASY
hlúvo,Greasy
hlúvo,fat
hlúvo,FAT
hlúvo,Fat
lúvo,greasy
lúvo,GREASY
lúvo,Greasy
lúvo,fat
lúvo,FAT
lúvo,Fat
höa,big
höa,BIG
höa,Big
höa,large
höa,LARGE
höa,Large
hócir-,to cut off (so as to have
hócir-,TO CUT OFF (SO AS TO HAVE
hócir-,To cut off (so as to have
hócir-,use a required portion)
hócir-,USE A REQUIRED PORTION)
hócir-,Use a required portion)
holla,?shut
holla,?SHUT
holma,?shut
holma,?SHUT
holmo,sincerely
holmo,SINCERELY
holmo,Sincerely
holmo,heartily
holmo,HEARTILY
holmo,Heartily
holya-,?to shut
holya-,?TO SHUT
holya-,close
holya-,CLOSE
holya-,Close
holta-,?to shut
holta-,?TO SHUT
holta-,close
holta-,CLOSE
holta-,Close
hón,heart (physical organ)
hón,HEART (PHYSICAL ORGAN)
hón,Heart (physical organ)
honda,hearted
honda,HEARTED
honda,Hearted
hondo,[metaphorical] heart
hondo,[METAPHORICAL] HEART
hondo,(seat of the) deepest feelings
hondo,(SEAT OF THE) DEEPEST FEELINGS
hondoringa,cold-hearted
hondoringa,COLD-HEARTED
hondoringa,Cold-hearted
hosta-,to gather (hastily together)
hosta-,TO GATHER (HASTILY TOGETHER)
hosta-,To gather (hastily together)
hosta-,collect
hosta-,COLLECT
hosta-,Collect
hosta-,assemble
hosta-,ASSEMBLE
hosta-,Assemble
hosta-,pile up
hosta-,PILE UP
hosta-,Pile up
hótul-,to come away (to leave a place and go to another)
hótul-,TO COME AWAY (TO LEAVE A PLACE AND GO TO ANOTHER)
hótul-,To come away (to leave a place and go to another)
hrai(a)¹,awkward
hrai(a)¹,AWKWARD
hrai(a)¹,Awkward
hrai(a)¹,difficult
hrai(a)¹,DIFFICULT
hrai(a)¹,Difficult
hrai(a)¹,stiff
hrai(a)¹,STIFF
hrai(a)¹,Stiff
hrai,awkward
hrai,AWKWARD
hrai,Awkward
hrai,difficult
hrai,DIFFICULT
hrai,Difficult
hrai,stiff
hrai,STIFF
hrai,Stiff
hrai(a)²,easy
hrai(a)²,EASY
hrai(a)²,Easy
hraicénima,scarcely visible
hraicénima,SCARCELY VISIBLE
hraicénima,Scarcely visible
hraicénima,hard to see
hraicénima,HARD TO SEE
hraicénima,Hard to see
hraicenë,scarcely visible
hraicenë,SCARCELY VISIBLE
hraicenë,Scarcely visible
hraicenë,hard to see
hraicenë,HARD TO SEE
hraicenë,Hard to see
hrainotë,*hard to count
hrainotë,*HARD TO COUNT
hranga,awkward
hranga,AWKWARD
hranga,Awkward
hranga,difficult
hranga,DIFFICULT
hranga,Difficult
hranga,stiff
hranga,STIFF
hranga,Stiff
hranga,hard
hranga,HARD
hranga,Hard
hranga-,to thwart
hranga-,TO THWART
hranga-,To thwart
hróva²,savage
hróva²,SAVAGE
hróva²,Savage
hróva²,wild
hróva²,WILD
hróva²,Wild
hravan,wild beast
hravan,WILD BEAST
hravan,Wild beast
hrávë,flesh
hrávë,FLESH
hrávë,Flesh
hresta,beach
hresta,BEACH
hresta,Beach
hresta,shore
hresta,SHORE
hresta,Shore
hriz-,to snow
hriz-,TO SNOW
hriz-,To snow
hrisya-,to snow (impersonal)
hrisya-,TO SNOW (IMPERSONAL)
hrisya-,To snow (impersonal)
hrissë,fall of snow
hrissë,FALL OF SNOW
hrissë,Fall of snow
hristil,snow (?peak)
hristil,SNOW (?PEAK)
hristil,Snow (?peak)
hrívë,winter
hrívë,WINTER
hrívë,Winter
hröa,body
hröa,BODY
hröa,Body
hröa,bodily form
hröa,BODILY FORM
hröa,Bodily form
hröa,flesh; physical matter
hröa,FLESH; PHYSICAL MATTER
hröa,Flesh; physical matter
hrondo,(physical) body
hrondo,(PHYSICAL) BODY
hrondo,corporeal form
hrondo,CORPOREAL FORM
hrondo,Corporeal form
hröafelmë,*body-impulse
hröafelmë,*BODY-IMPULSE
hröangolmë,lore of the body and arts of healing
hröangolmë,LORE OF THE BODY AND ARTS OF HEALING
hröangolmë,Lore of the body and arts of healing
(h)róna,eastern
(h)róna,EASTERN
(h)róna,Eastern
(h)róna,east
(h)róna,EAST
(h)róna,East
róna,east
róna,EAST
róna,East
hróta,dwelling underground
hróta,DWELLING UNDERGROUND
hróta,Dwelling underground
hróta,artificial cave
hróta,ARTIFICIAL CAVE
hróta,Artificial cave
hróta,rockhewn hall
hróta,ROCKHEWN HALL
hróta,Rockhewn hall
hrúcarë,evil-doing
hrúcarë,EVIL-DOING
hrúcarë,Evil-doing
rúcare,evil-doing
rúcare,EVIL-DOING
rúcare,Evil-doing
hruo,*wickedness
hruo,*WICKEDNESS
hrú(y)a,evil
hrú(y)a,EVIL
hrú(y)a,Evil
hrú(y)a,wicked
hrú(y)a,WICKED
hrú(y)a,Wicked
hú,hound (or ?heart)
hú,HOUND (OR ?HEART)
hú,Hound (or ?heart)
hó,hound (or ?heart)
hó,HOUND (OR ?HEART)
hó,Hound (or ?heart)
huinë,gloom
huinë,GLOOM
huinë,Gloom
huinë,(unrelieved) darkness
huinë,(UNRELIEVED) DARKNESS
huinë,deep shadow
huinë,DEEP SHADOW
huinë,Deep shadow
huinë,night shade; dark (as a substance)
huinë,NIGHT SHADE; DARK (AS A SUBSTANCE)
huinë,Night shade; dark (as a substance)
húna,cursed
húna,CURSED
húna,Cursed
húna,accursed
húna,ACCURSED
húna,Accursed
húta-,to curse
húta-,TO CURSE
húta-,To curse
hwal-,to wash
hwal-,TO WASH
hwal-,To wash
hwarwa,violent wind
hwarwa,VIOLENT WIND
hwarwa,Violent wind
hwá,violent wind
hwá,VIOLENT WIND
hwá,Violent wind
hwermë,gesture-code
hwermë,GESTURE-CODE
hwermë,Gesture-code
hwesta,breeze
hwesta,BREEZE
hwesta,Breeze
hwesta sindarinwa,Grey-elven hw
hwesta sindarinwa,grey-elven hw
hwesta sindarinwa,GREY-ELVEN HW
hwindë,birch
hwindë,BIRCH
hwindë,Birch
hwirya-,to wither
hwirya-,TO WITHER
hwirya-,To wither
hyam-,*to pray
hyam-,*TO PRAY
arca-,*to pray
arca-,*TO PRAY
arca-,petition
arca-,PETITION
arca-,Petition
kyermë,prayer
kyermë,PRAYER
kyermë,Prayer
hyana,other
hyana,OTHER
hyana,Other
exa,other
exa,OTHER
exa,Other
hyando,cleaver
hyando,CLEAVER
hyando,Cleaver
hyanda,pressed mass
hyanda,PRESSED MASS
hyanda,Pressed mass
hyanda,crowd
hyanda,CROWD
hyanda,Crowd
hyarna²,compact
hyarna²,COMPACT
hyarna²,Compact
hyanna,compact
hyanna,COMPACT
hyanna,Compact
hyarma,left-hand [side]
hyarma,LEFT-HAND [SIDE]
hyarma,Left-hand [side]
hyarmen,south
hyarmen,SOUTH
hyarmen,South
hyarmen,(lit.) left-hand direction
hyarmen,(LIT.) LEFT-HAND DIRECTION
hyarna¹,southern
hyarna¹,SOUTHERN
hyarna¹,Southern
exe,the other
exe,THE OTHER
exe,The other
hyero,wine
hyero,WINE
hyero,Wine
ilaurëa,*daily
ilaurëa,*DAILY
ilyarëa,*daily
ilyarëa,*DAILY
ilca-,to gleam (white)
ilca-,TO GLEAM (WHITE)
ilca-,To gleam (white)
illumë,*always
illumë,*ALWAYS
ilquárëa,general
ilquárëa,GENERAL
ilquárëa,General
ilu,everything
ilu,EVERYTHING
ilu,Everything
ilu,all
ilu,ALL
ilu,All
ilu,the whole
ilu,THE WHOLE
ilu,The whole
ilucara,omnificent
ilucara,OMNIFICENT
ilucara,Omnificent
iluisa,omniscient
iluisa,OMNISCIENT
iluisa,Omniscient
ilúvala,omnipotent
ilúvala,OMNIPOTENT
ilúvala,Omnipotent
ilúvë,the whole
ilúvë,THE WHOLE
ilúvë,The whole
ilúvë,the all
ilúvë,THE ALL
ilúvë,The all
ilúvë,allness
ilúvë,ALLNESS
ilúvë,Allness
ilvan(y)a,perfect
ilvan(y)a,PERFECT
ilvan(y)a,Perfect
ilya,every
ilya,EVERY
ilya,Every
ilya,each
ilya,EACH
ilya,Each
ilya,all (of a particular group of things)
ilya,ALL (OF A PARTICULAR GROUP OF THINGS)
ilya,All (of a particular group of things)
ilyë,all
ilyë,ALL
ilyë,All
imbë²,deep valley
imbë²,DEEP VALLEY
imbë²,Deep valley
imbë²,wide ravine
imbë²,WIDE RAVINE
imbë²,Wide ravine
imbë²,(lit.) tween-land
imbë²,(LIT.) TWEEN-LAND
imbilat,*deep valley
imbilat,*DEEP VALLEY
imya,same
imya,SAME
imya,Same
imya,identical
imya,IDENTICAL
imya,Identical
imya,self-same
imya,SELF-SAME
imya,Self-same
incánu,mind master
incánu,MIND MASTER
incánu,Mind master
incánussë,mind mastership
incánussë,MIND MASTERSHIP
incánussë,Mind mastership
indemma,mind-picture (of apparition in dream)
indemma,MIND-PICTURE (OF APPARITION IN DREAM)
indemma,Mind-picture (of apparition in dream)
indil,lily
indil,LILY
indil,Lily
indil,other large single flower
indil,OTHER LARGE SINGLE FLOWER
indil,Other large single flower
insil,flower
insil,FLOWER
insil,Flower
insil,lily
insil,LILY
insil,Lily
indis,wife
indis,WIFE
indis,Wife
indo,(state of) mind
indo,(STATE OF) MIND
indo,(inner) thought
indo,(INNER) THOUGHT
indo,mood; will
indo,MOOD; WILL
indo,Mood; will
indo,resolve
indo,RESOLVE
indo,Resolve
indómë,settled character; will of Eru
indómë,settled character; will of eru
indómë,SETTLED CHARACTER; WILL OF ERU
indómë,Settled character; will of eru
indu-,to will
indu-,TO WILL
indu-,To will
indu-,do on purpose
indu-,DO ON PURPOSE
indu-,Do on purpose
induinen,purpose
induinen,PURPOSE
induinen,Purpose
indyel,small bell
indyel,SMALL BELL
indyel,Small bell
inga,top
inga,TOP
inga,Top
inga,highest point
inga,HIGHEST POINT
inga,Highest point
ingaran,high-king
ingaran,HIGH-KING
ingaran,High-king
ingolë,lore
ingolë,LORE
ingolë,Lore
ingolë,science
ingolë,SCIENCE
ingolë,Science
ingolë,philosophy
ingolë,PHILOSOPHY
ingolë,Philosophy
ingolmo,loremaster
ingolmo,LOREMASTER
ingolmo,Loremaster
ingolmo,wizard
ingolmo,WIZARD
ingolmo,Wizard
ingolmo,one with very great knowledge
ingolmo,ONE WITH VERY GREAT KNOWLEDGE
ingolmo,One with very great knowledge
ingor,summit of a mountain
ingor,SUMMIT OF A MOUNTAIN
ingor,Summit of a mountain
inwalmë,mood of mind
inwalmë,MOOD OF MIND
inwalmë,Mood of mind
inwis,change of mind/mood
inwis,CHANGE OF MIND/MOOD
inwis,Change of mind/mood
ipsin,fine thread
ipsin,FINE THREAD
ipsin,Fine thread
írë,desire
írë,DESIRE
írë,Desire
írima,desirable
írima,DESIRABLE
írima,Desirable
írima,lovely
írima,LOVELY
írima,Lovely
írima,beautiful
írima,BEAUTIFUL
írima,Beautiful
Isil,Moon
Isil,moon
Isil,MOON
Isil,(lit.) Sheen
Isil,(lit.) sheen
Isil,(LIT.) SHEEN
Isil,(lit.) sheen
isilmë,moonlight
isilmë,MOONLIGHT
isilmë,Moonlight
Isilya,*Monday
Isilya,*monday
Isilya,*MONDAY
Isilya,*monday
Isilya,Moon-day
Isilya,moon-day
Isilya,MOON-DAY
ista-,to know
ista-,TO KNOW
ista-,To know
istima,wise (in sense knowing very much)
istima,WISE (IN SENSE KNOWING VERY MUCH)
istima,Wise (in sense knowing very much)
istima,knowledgeable
istima,KNOWLEDGEABLE
istima,Knowledgeable
istima,very well informed
istima,VERY WELL INFORMED
istima,Very well informed
istima,learned
istima,LEARNED
istima,Learned
ita-,to sparkle
ita-,TO SPARKLE
ita-,To sparkle
íta¹,flash
íta¹,FLASH
íta¹,Flash
íta²,very
íta²,VERY
íta²,Very
íta²,extremely; (lit.) multiplied
íta²,EXTREMELY; (LIT.) MULTIPLIED
íta²,Extremely; (lit.) multiplied
íta²,increased
íta²,INCREASED
íta²,Increased
itara,gleaming
itara,GLEAMING
itara,Gleaming
itas,in that case
itas,IN THAT CASE
itas,In that case
it(ë),if
it(ë),IF
it(ë),If
itila,twinkling
itila,TWINKLING
itila,Twinkling
itila,glinting
itila,GLINTING
itila,Glinting
lá-,to not be
lá-,TO NOT BE
lá-,To not be
lá¹,no
lá¹,NO
lá¹,No
lá¹,not
lá¹,NOT
lá¹,Not
lacalima,not possible to be kindled (made to shine)
lacalima,NOT POSSIBLE TO BE KINDLED (MADE TO SHINE)
lacalima,Not possible to be kindled (made to shine)
lacaltaima,not possible to be kindled
lacaltaima,NOT POSSIBLE TO BE KINDLED
lacaltaima,Not possible to be kindled
lacaraitë,impossible
lacaraitë,IMPOSSIBLE
lacaraitë,Impossible
lacarë,inaction
lacarë,INACTION
lacarë,Inaction
lacarë,(lit.) not-doing
lacarë,(LIT.) NOT-DOING
lacárima,not feasible
lacárima,NOT FEASIBLE
lacárima,Not feasible
lacárima,impossible
lacárima,IMPOSSIBLE
lacárima,Impossible
lacarina,undone
lacarina,UNDONE
lacarina,Undone
lacenítë,unseeing
lacenítë,UNSEEING
lacenítë,Unseeing
lacenítë,blind
lacenítë,BLIND
lacenítë,Blind
lahta-,to cross
lahta-,TO CROSS
lahta-,To cross
lahta-,pass over
lahta-,PASS OVER
lahta-,Pass over
lahta-,go over; to surpass
lahta-,GO OVER; TO SURPASS
lahta-,Go over; to surpass
lahta-,excel
lahta-,EXCEL
lahta-,Excel
langa-,to cross
langa-,TO CROSS
langa-,To cross
langa-,go over
langa-,GO OVER
langa-,Go over
langa-,pass over
langa-,PASS OVER
langa-,Pass over
lanya-²,to cross
lanya-²,TO CROSS
lanya-²,To cross
laica,green
laica,GREEN
laica,Green
laiqua,green
laiqua,GREEN
laiqua,Green
laicalassë,green-leaf
laicalassë,GREEN-LEAF
laicalassë,Green-leaf
laicalassë,green as leaves
laicalassë,GREEN AS LEAVES
laicalassë,Green as leaves
laima,plant
laima,PLANT
laima,Plant
laiquë,herb
laiquë,HERB
laiquë,Herb
lairë,summer
lairë,SUMMER
lairë,Summer
lairelossë,summer-snow-white
lairelossë,SUMMER-SNOW-WHITE
lairelossë,Summer-snow-white
lairelossë,species of tree in Númenor
lairelossë,species of tree in númenor
lairelossë,SPECIES OF TREE IN NÚMENOR
lairelossë,Species of tree in númenor
lairus,verdigris
lairus,VERDIGRIS
lairus,Verdigris
laista,ignorance
laista,IGNORANCE
laista,Ignorance
laista,(lit.) not-knowing
laista,(LIT.) NOT-KNOWING
laistila,ignorant
laistila,IGNORANT
laistila,Ignorant
laistëa,ignorant
laistëa,IGNORANT
laistëa,Ignorant
laita-,to praise
laita-,TO PRAISE
laita-,To praise
laita-,bless
laita-,BLESS
laita-,Bless
laitalë,praise
laitalë,PRAISE
laitalë,Praise
lala-,to laugh
lala-,TO LAUGH
lala-,To laugh
láma,sound
láma,SOUND
láma,Sound
laman,animal
laman,ANIMAL
laman,Animal
lamate,fasting
lamate,FASTING
lamate,Fasting
lamate,a fast
lamate,A FAST
lamate,A fast
lámatyávë,*sound-taste
lámatyávë,*SOUND-TASTE
lamba,(physical) tongue
lamba,(PHYSICAL) TONGUE
lambë,language
lambë,LANGUAGE
lambë,Language
lambë,tongue
lambë,TONGUE
lambë,Tongue
lambë,dialect
lambë,DIALECT
lambë,Dialect
lambelë,phonetics
lambelë,PHONETICS
lambelë,Phonetics
lambetengwë,consonant
lambetengwë,CONSONANT
lambetengwë,Consonant
lambina,of tongue
lambina,OF TONGUE
lambina,Of tongue
lambina,spoken with tongue
lambina,SPOKEN WITH TONGUE
lambina,Spoken with tongue
lamélima,unlovable
lamélima,UNLOVABLE
lamélima,Unlovable
lamma-,?to echo
lamma-,?TO ECHO
lanca,sharp edge (not of tools)
lanca,SHARP EDGE (NOT OF TOOLS)
lanca,Sharp edge (not of tools)
lanca,sudden end
lanca,SUDDEN END
lanca,Sudden end
landa¹,wide
landa¹,WIDE
landa¹,Wide
landa²,boundary
landa²,BOUNDARY
landa²,Boundary
lanë,hem
lanë,HEM
lanë,Hem
langa,thing that crosses
langa,THING THAT CROSSES
langa,Thing that crosses
langa,ferry
langa,FERRY
langa,Ferry
langa,ford
langa,FORD
langa,Ford
langa,crossway
langa,CROSSWAY
langa,Crossway
langa,bridge
langa,BRIDGE
langa,Bridge
langa,cross-bar
langa,CROSS-BAR
langa,Cross-bar
langë,surpassingly
langë,SURPASSINGLY
langë,Surpassingly
langë,superlatively
langë,SUPERLATIVELY
langë,Superlatively
langë,extremely
langë,EXTREMELY
langë,Extremely
lango,neck
lango,NECK
lango,Neck
lanotoitë,innumerable
lanotoitë,INNUMERABLE
lanotoitë,Innumerable
lanta-,to fall
lanta-,TO FALL
lanta-,To fall
lantalca,boundary post
lantalca,BOUNDARY POST
lantalca,Boundary post
lantalca,mark
lantalca,MARK
lantalca,Mark
lantë,fall
lantë,FALL
lantë,Fall
lanwa,within bounds
lanwa,WITHIN BOUNDS
lanwa,Within bounds
lanwa,limited
lanwa,LIMITED
lanwa,Limited
lanwa,finite
lanwa,FINITE
lanwa,Finite
lanwa,(well-)defined
lanwa,(WELL-)DEFINED
lanya,thread
lanya,THREAD
lanya,Thread
lanya,warp
lanya,WARP
lanya,Warp
lanya-¹,to bound
lanya-¹,TO BOUND
lanya-¹,To bound
lanya-¹,enclose
lanya-¹,ENCLOSE
lanya-¹,Enclose
lanya-¹,separate from
lanya-¹,SEPARATE FROM
lanya-¹,Separate from
lanya-¹,mark the limit of
lanya-¹,MARK THE LIMIT OF
lanya-¹,Mark the limit of
laptë,gluttonous eating
laptë,GLUTTONOUS EATING
laptë,Gluttonous eating
láquet-,to deny (fact
láquet-,TO DENY (FACT
láquet-,To deny (fact
láquet-,accusation); (lit.) to say ‘it is not’
láquet-,ACCUSATION); (LIT.) TO SAY ‘IT IS NOT’
láquet-,Accusation); (lit.) to say ‘it is not’
lár,league; †stop
lár,LEAGUE; †STOP
lár,League; †stop
lár,pause
lár,PAUSE
lár,Pause
larma,raiment
larma,RAIMENT
larma,Raiment
larmo,listener (spy
larmo,LISTENER (SPY
larmo,Listener (spy
larmo,scout)
larmo,SCOUT)
larmo,Scout)
las,it is/was not so
las,IT IS/WAS NOT SO
las,It is/was not so
lassë,leaf
lassë,LEAF
lassë,Leaf
lasselanta,(late) autumn
lasselanta,(LATE) AUTUMN
lasselanta,(lit.) leaf-fall
lasselanta,(LIT.) LEAF-FALL
lassewinta,leaf fall
lassewinta,LEAF FALL
lassewinta,Leaf fall
lassewinta,autumn
lassewinta,AUTUMN
lassewinta,Autumn
lassewinta,*(lit.) leaf blowing
lassewinta,*(LIT.) LEAF BLOWING
lasta-,to listen
lasta-,TO LISTEN
lasta-,To listen
láta,open (not closed)
láta,OPEN (NOT CLOSED)
láta,Open (not closed)
látie,openness
látie,OPENNESS
látie,Openness
latina,free (of movement)
latina,FREE (OF MOVEMENT)
latina,Free (of movement)
latina,not encumbered with obstacles
latina,NOT ENCUMBERED WITH OBSTACLES
latina,Not encumbered with obstacles
latya,opening
latya,OPENING
latya,Opening
latya-,to open anything (so as to allow entry)
latya-,TO OPEN ANYTHING (SO AS TO ALLOW ENTRY)
latya-,To open anything (so as to allow entry)
lauca,*warm
lauca,*WARM
laurë,gold (light
laurë,GOLD (LIGHT
laurë,Gold (light
laurë,colour)
laurë,COLOUR)
laurë,Colour)
laurëa,golden (of hue)
laurëa,GOLDEN (OF HUE)
laurëa,Golden (of hue)
laurinquë,yellow-flowered tree
laurinquë,YELLOW-FLOWERED TREE
laurinquë,Yellow-flowered tree
lauya-,to flourish (green)
lauya-,TO FLOURISH (GREEN)
lauya-,To flourish (green)
lauya-,grow
lauya-,GROW
lauya-,Grow
lav-,to lick
lav-,TO LICK
lav-,To lick
lávar,(golden) blossom
lávar,(GOLDEN) BLOSSOM
löar,(golden) blossom
löar,(GOLDEN) BLOSSOM
lé¹,way
lé¹,WAY
lé¹,Way
lé¹,method
lé¹,METHOD
lé¹,Method
lé¹,manner
lé¹,MANNER
lé¹,Manner
lehta,free
lehta,FREE
lehta,Free
lehta,released
lehta,RELEASED
lehta,Released
lélë,will
lélë,WILL
lélë,Will
lelta-,to send
lelta-,TO SEND
lelta-,To send
lelta-,*(lit.) cause to go
lelta-,*(LIT.) CAUSE TO GO
leluya,thick (of a single thing)
leluya,THICK (OF A SINGLE THING)
leluya,Thick (of a single thing)
lelya,delicate
lelya,DELICATE
lelya,Delicate
lelya,beautiful and fine
lelya,BEAUTIFUL AND FINE
lelya,Beautiful and fine
lelya,slender
lelya,SLENDER
lelya,Slender
lelya,lovely
lelya,LOVELY
lelya,Lovely
lelya-¹,to go
lelya-¹,TO GO
lelya-¹,To go
lelya-¹,proceed (in any direction)
lelya-¹,PROCEED (IN ANY DIRECTION)
lelya-¹,Proceed (in any direction)
lelya-¹,travel
